"","X","position","name","count","sex","year"
"1",0,1,"William",574,"MALE",2008
"2",1,2,"Jack",544,"MALE",2008
"3",2,3,"Thomas",522,"MALE",2008
"4",3,4,"Joshua",475,"MALE",2008
"5",4,5,"James",466,"MALE",2008
"6",5,6,"Lachlan",440,"MALE",2008
"7",6,7,"Oliver",432,"MALE",2008
"8",7,8,"Riley (m)",378,"MALE",2008
"9",8,9,"Cooper",366,"MALE",2008
"10",9,10,"Noah",358,"MALE",2008
"11",10,11,"Ethan",343,"MALE",2008
"12",11,12,"Benjamin",335,"MALE",2008
"13",12,13,"Lucas",329,"MALE",2008
"14",13,14,"Samuel",323,"MALE",2008
"15",14,15,"Daniel",314,"MALE",2008
"16",15,16,"Max",310,"MALE",2008
"17",16,17,"Charlie (m)",301,"MALE",2008
"18",17,18,"Alexander",289,"MALE",2008
"19",18,19,"Liam",282,"MALE",2008
"20",19,20,"Ryan",277,"MALE",2008
"21",20,21,"Matthew",272,"MALE",2008
"22",21,22,"Xavier",233,"MALE",2008
"23",22,23,"Angus",226,"MALE",2008
"24",23,24,"Jacob",226,"MALE",2008
"25",24,25,"Luke",222,"MALE",2008
"26",25,26,"Tyler",211,"MALE",2008
"27",26,27,"Harrison",210,"MALE",2008
"28",27,28,"Oscar",208,"MALE",2008
"29",28,29,"Nicholas",204,"MALE",2008
"30",29,30,"Jake",198,"MALE",2008
"31",30,31,"Mitchell",197,"MALE",2008
"32",31,32,"Harry",196,"MALE",2008
"33",32,33,"Jordan",192,"MALE",2008
"34",33,34,"Nathan",182,"MALE",2008
"35",34,35,"Blake",177,"MALE",2008
"36",35,36,"Michael",174,"MALE",2008
"37",36,37,"Bailey",171,"MALE",2008
"38",37,38,"Archie",161,"MALE",2008
"39",38,39,"Dylan",160,"MALE",2008
"40",39,40,"Hamish",160,"MALE",2008
"41",40,41,"Jackson",158,"MALE",2008
"42",41,42,"Isaac",155,"MALE",2008
"43",42,43,"Hayden",149,"MALE",2008
"44",43,44,"Jayden",147,"MALE",2008
"45",44,45,"Patrick",147,"MALE",2008
"46",45,46,"Henry",144,"MALE",2008
"47",46,47,"Logan",139,"MALE",2008
"48",47,48,"Christian",133,"MALE",2008
"49",48,49,"Sebastian",131,"MALE",2008
"50",49,50,"Luca",130,"MALE",2008
"51",50,51,"Zachary",129,"MALE",2008
"52",51,52,"Connor",125,"MALE",2008
"53",52,53,"Darcy",124,"MALE",2008
"54",53,54,"Adam",122,"MALE",2008
"55",54,55,"Jesse",122,"MALE",2008
"56",55,56,"Joseph",119,"MALE",2008
"57",56,57,"Alex",117,"MALE",2008
"58",57,58,"Brodie",117,"MALE",2008
"59",58,59,"Hunter",117,"MALE",2008
"60",59,60,"Archer",115,"MALE",2008
"61",60,61,"Marcus",114,"MALE",2008
"62",61,62,"Caleb",113,"MALE",2008
"63",62,63,"Aidan",112,"MALE",2008
"64",63,64,"Mason",111,"MALE",2008
"65",64,65,"Charles",110,"MALE",2008
"66",65,66,"Seth",107,"MALE",2008
"67",66,67,"Cody",106,"MALE",2008
"68",67,68,"Finn",105,"MALE",2008
"69",68,69,"Joel",105,"MALE",2008
"70",69,70,"Aiden",103,"MALE",2008
"71",70,71,"Sam",102,"MALE",2008
"72",71,72,"Andrew",100,"MALE",2008
"73",72,73,"Edward",98,"MALE",2008
"74",73,74,"Levi",97,"MALE",2008
"75",74,75,"Anthony",95,"MALE",2008
"76",75,76,"Christopher",95,"MALE",2008
"77",76,77,"George",94,"MALE",2008
"78",77,78,"Cameron",93,"MALE",2008
"79",78,79,"Toby",93,"MALE",2008
"80",79,80,"Ryder",92,"MALE",2008
"81",80,81,"Will",92,"MALE",2008
"82",81,82,"Zac",92,"MALE",2008
